"Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Survived"
"3","male",0.452723196624027,0,0,0.0152815806711778,"Q","0"
"3","female",0.617565607279441,0.125,0,0.0136630900600629,"S","0"
"2","male",0.815376500065937,0,0,0.0189087407081228,"Q","0"
"3","male",0.353817750230779,0,0,0.0169080739493279,"S","0"
"3","female",0.287880785968614,0.125,0.111111111111111,0.0239836027304319,"S","1"
"3","male",0.182381643149149,0,0,0.0180060008291544,"S","0"
"3","female",0.393379928788079,0,0,0.0148912066694617,"Q","1"
"2","male",0.340630357378346,0.125,0.111111111111111,0.0566042302488322,"S","0"
"3","female",0.235131214558882,0,0,0.0141104586660296,"C","1"
"3","male",0.274693393116181,0.25,0,0.0471376607072172,"S","0"
"3","male",0.327442964525913,0,0,0.0154115752137493,"S","0"
"1","male",0.604378214427008,0,0,0.0507486202230909,"S","0"
"1","female",0.301068178821047,0.125,0,0.160573904434883,"S","1"
"2","male",0.82856389291837,0.125,0,0.0507486202230909,"S","0"
"1","female",0.617565607279441,0.125,0,0.119405647774907,"S","1"
"2","female",0.31425557167348,0.125,0,0.0541073981338561,"C","1"
"2","male",0.459316893050244,0,0,0.0241055946059682,"Q","0"
"3","male",0.274693393116181,0,0,0.0141022608119935,"C","0"
"3","female",0.353817750230779,0.125,0,0.0154685698179998,"S","1"
"3","female",0.591190821574575,0,0,0.0141022608119935,"C","0"
"1","male",0.723064750098905,0.125,0,0.115941078509677,"C","0"
"3","male",0.116444678886984,0,0.111111111111111,0.0061889894232068,"S","0"
"1","female",0.512066464459976,0,0,0.061841683042856,"S","1"
"1","male",0.274693393116181,0,0.111111111111111,0.119804219630659,"C","0"
"1","female",0.630753000131874,0.125,0.333333333333333,0.512121893501288,"C","1"
"3","male",0.65712778583674,0.125,0,0.0283021151244161,"S","0"
"1","female",0.287880785968614,0,0.111111111111111,0.120975341635808,"C","1"
"3","male",0.294474482394831,0,0,0.0141022608119935,"C","0"
"1","male",0.538441250164842,0,0,0.0595320352617028,"S","0"
"3","male",0.287880785968614,0.25,0,0.0423149802900167,"C","0"
"2","male",0.65712778583674,0.125,0,0.0507486202230909,"S","0"
"2","male",0.31425557167348,0.25,0,0.0614839052702832,"S","0"
"3","female",0.432942107345378,0.125,0.222222222222222,0.0401597254265421,"S","1"
"3","female",0.0109455360675195,0.125,0.222222222222222,0.0457713517012109,"S","0"
"1","male",0.393379928788079,0.125,0,0.112720492995519,"C","0"
"3","male",0.241724910985098,0,0,0.0141104586660296,"C","0"
"3","female",0.31425557167348,0,0,0.0157125535690724,"S","1"
"3","female",0.274693393116181,0,0,0.0169080739493279,"S","1"
"3","male",0.327442964525913,0,0,0.018542765081514,"S","0"
"3","male",0.393379928788079,0,0,0.110272457630758,"S","0"
"3","male",0.512066464459976,0,0.111111111111111,0.0261876543441209,"C","0"
"1","male",0.551628643017275,0,0,0.0518221487278102,"S","0"
"3","male",0.538441250164842,0,0,0.0153221795673563,"S","0"
"2","female",0.393379928788079,0,0,0.0253743101115455,"S","1"
"1","female",0.591190821574575,0.125,0,0.102578966804937,"S","1"
"3","male",0.327442964525913,0,0,0.0154685698179998,"S","0"
"1","male",0.591190821574575,0,0,0.0579705392548385,"C","0"
"3","male",0.31425557167348,0,0,0.0151269925664983,"Q","0"
"1","female",0.789001714361071,0,0,0.148911481133615,"C","1"
"3","female",0.472504285902677,0,0.222222222222222,0.0310347331364287,"S","0"
"1","male",0.31425557167348,0.125,0,0.117112200514825,"S","0"
"2","male",0.353817750230779,0,0,0.029343047399992,"C","0"
"2","female",0.261506000263748,0.25,0.111111111111111,0.0448930101973497,"S","1"
"1","female",0.367005143083212,0.375,0.222222222222222,0.513341812256651,"S","1"
"2","male",0.525253857312409,0,0,0.0304085732376761,"C","0"
"3","male",0.129632071739417,0.5,0.111111111111111,0.0568482139999047,"Q","0"
"3","male",0.459316893050244,0,0,0.0154115752137493,"S","0"
"3","male",0.327442964525913,0,0,0.0149318055656402,"S","0"
"3","male",0.393379928788079,0.125,0,0.0314251071381448,"S","0"
"1","female",0.472504285902677,0,0,0.512121893501288,"C","1"
"3","male",0.221943821706449,0,0,0.0154115752137493,"S","0"
"2","male",0.419754714492945,0,0,0.0263502451158357,"S","0"
"3","male",0.235131214558882,0,0,0.0151269925664983,"S","0"
"3","female",0.287880785968614,0,0,0.0150781958162837,"Q","1"
"1","male",0.169194250296716,0.25,0.222222222222222,0.512121893501288,"C","0"
"2","female",0.406567321640512,0,0,0.0409892701801888,"S","1"
"3","female",0.235131214558882,0,0,0.0153791741716068,"Q","1"
"1","male",0.617565607279441,0,0,0.0827592883638098,"S","0"
"1","male",0.406567321640512,0,0,0.0557014903698638,"C","0"
"1","female",0.789001714361071,0.125,0.444444444444444,0.513341812256651,"S","1"
"3","female",0.31425557167348,0,0,0.0151269925664983,"Q","1"
"3","male",0.274693393116181,0,0,0.0154115752137493,"S","0"
"3","female",0.380192535935646,0,0,0.0154685698179998,"S","1"
"1","male",0.373598839509429,0,0,0.0541073981338561,"C","0"
"1","female",0.459316893050244,0,0,0.412820506814759,"C","1"
"1","male",0.426348410919161,0,0,0.412820506814759,"C","0"
"3","male",0.31425557167348,0,0,0.0157125535690724,"S","0"
"1","female",0.723064750098905,0.25,0,0.0501630592205168,"S","1"
"2","male",0.393379928788079,0,0,0.0253743101115455,"S","0"
"3","female",0.31425557167348,0,0,0.0151269925664983,"Q","1"
"3","male",0.0768825003296848,0.125,0.111111111111111,0.0297578197768154,"C","1"
"1","male",0.881313464328102,0.125,0,0.432884169006959,"S","0"
"1","male",0.643940392984307,0,0,0.0507486202230909,"S","0"
"3","male",0.327442964525913,0,0,0.0154115752137493,"S","0"
"2","male",0.31425557167348,0,0,0.0209012096128817,"Q","0"
"3","male",0.301068178821047,0.125,0,0.0282127194780231,"C","0"
"3","female",0.353817750230779,0,0,0.0153791741716068,"Q","1"
"3","female",0.235131214558882,0,0,0.0157125535690724,"S","1"
"3","female",0.31425557167348,0,0,0.0151269925664983,"Q","1"
"2","male",0.0241329289199525,0.125,0.111111111111111,0.0448930101973497,"S","1"
"3","female",0.287880785968614,0.125,0,0.0271309931192678,"S","1"
"3","male",0.340630357378346,0,0,0.0151757893167128,"S","0"
"1","female",0.353817750230779,0.125,0.222222222222222,0.101497240446182,"S","1"
"3","male",0.31425557167348,0,0,0.0157125535690724,"S","0"
"1","male",0.327442964525913,0,0,0.0507486202230909,"C","0"
"3","male",0.327442964525913,0,0,0.0152163882128912,"S","0"
"1","female",1,0.125,0,0.153904950176566,"S","1"
"3","male",0.380192535935646,0,0,0.0154685698179998,"S","0"
"3","female",0.261506000263748,0,0,0.0153303774213923,"S","1"
"3","male",0.432942107345378,0,0,0.0157125535690724,"S","0"
"1","female",0.564816035869709,0.125,0,0.108214991454713,"C","1"
"2","male",0.353817750230779,0.125,0,0.0507486202230909,"S","0"
"3","male",0.31425557167348,0,0,0.0151269925664983,"Q","0"
"3","male",0.340630357378346,0,0,0.0151757893167128,"S","0"
"3","female",0.208756428854016,0.125,0.111111111111111,0.0166234913020769,"C","1"
"3","male",0.367005143083212,0,0,0.043965871943274,"S","0"
"3","male",0.274693393116181,0,0,0.0152651849631058,"Q","0"
"3","male",0.31425557167348,0,0,0.0151269925664983,"Q","0"
"3","male",0.301068178821047,0,0,0.0170056674497569,"S","0"
"2","male",0.241724910985098,0,0,0.0253743101115455,"S","0"
"2","male",0.538441250164842,0,0,0.0293674457750993,"C","0"
"3","female",0.340630357378346,0,0,0.0151839871707488,"Q","1"
"1","female",0.472504285902677,0,0,0.0618336803758209,"C","1"
"3","female",0.241724910985098,0,0,0.0142160548334938,"Q","1"
"1","female",0.82856389291837,0.125,0,0.432884169006959,"S","1"
"3","male",0.235131214558882,0.125,0,0.0282127194780231,"C","0"
"3","male",0.301068178821047,0,0,0.0125651631802365,"C","0"
"3","female",0.0109455360675195,0.125,0.111111111111111,0.032596229143293,"S","1"
"1","male",0.472504285902677,0,0,0.146862017624605,"C","0"
"2","female",0.380192535935646,0.125,0,0.0507486202230909,"S","1"
"2","female",0.156006857444283,0,0,0.0307419526351416,"S","1"
"3","male",0.301068178821047,0.125,0,0.0151269925664983,"Q","0"
"1","female",0.459316893050244,0.125,0,0.112720492995519,"C","1"
"3","male",0.367005143083212,0,0,0.014151057562208,"S","0"
"3","male",0.31425557167348,0,0,0.0151269925664983,"Q","0"
"3","female",0.221943821706449,0,0.111111111111111,0.0314251071381448,"S","1"
"3","male",0.287880785968614,0,0,0.0152163882128912,"S","0"
"3","female",0.287880785968614,0.25,0,0.0453809776994948,"Q","1"
"2","male",0.551628643017275,0,0,0.0253743101115455,"S","0"
